Laser id,Elevation,Azimuth
1,14.924,-1.042
2,11.074,-1.042
3,8.101,-1.042
4,5.099,-1.042
5,3.082,-1.042
6,2.07,-1.042
7,1.73,3.125
8,1.393,-5.208
9,1.055,-1.042
10,0.717,3.125
11,0.379,-5.208
12,0.042,-1.042
13,-0.295,3.125
14,-0.633,-5.208
15,-0.971,-1.042
16,-1.309,3.125
17,-1.646,-5.208
18,-1.986,-1.042
19,-2.323,3.125
20,-2.658,-5.208
21,-2.998,-1.042
22,-3.333,3.125
23,-3.67,-5.208
24,-4.008,-1.042
25,-4.343,3.125
26,-4.678,-5.208
27,-5.015,-1.042
28,-5.349,3.125
29,-5.684,-5.208
30,-6.019,-1.042
31,-7.021,-1.042
32,-8.017,-1.042
33,-9.018,-1.042
34,-10.003,-1.042
35,-10.99,-1.042
36,-11.964,-1.042
37,-12.932,-1.042
38,-13.888,-1.042
39,-18.847,-1.042
40,-24.855,-1.042